pdbids,ligand_name,smiles,affinity,value,mutation,notes
2ITP,AEE,CCN1CCN(CC1)Cc2ccc(cc2)c3cc4c([nH]3)ncnc4N[C@H](C)c5ccccc5,Kd=11.3nM,7.95,24,
2ITZ,IRE,COc1cc2c(cc1OCCCN3CCOCC3)/C(=N/c4ccc(c(c4)Cl)F)/N=CN2,Kd=2.6nM,8.59,163,
2ITY,IRE,COc1cc2c(cc1OCCCN3CCOCC3)/C(=N/c4ccc(c(c4)Cl)F)/N=CN2,Kd=53.5nM,7.27,,
1XKK,FMM,CS(=O)(=O)CCNCc1ccc(o1)c2ccc3c(c2)c(ncn3)Nc4ccc(c(c4)Cl)OCc5cccc(c5)F,Ki=3nM,8.52,,
5EDQ,5N3,CC1(c2c(c(nc(n2)c3c[nH]nc3)Nc4c5cccc(c5[nH]n4)Cl)CO1)C,Ki=2nM,8.7,multiple,
4ZAU,YY3,Cn1cc(c2c1cccc2)c3ccnc(n3)Nc4cc(c(cc4OC)N(C)CCN(C)C)NC(=O)C=C,Ki=2.2..(4)..14nM:IC50=0.002..(39)..17nM,7.85,,
4JQ7,KJQ,c1ccc(cc1)c2c3c(ncnc3oc2c4ccccc4)N[C@H](CO)c5ccccc5,IC50=223..(3)..10000nM,6.65,,
5X26,7XO,CC(C)n1c2c(cnc(n2)Nc3ccc(cc3)N4CCN(CC4)C)nc1Nc5ccccc5,IC50=5..(3)..46nM,8.3,163,
4JQ8,KJ8,CN(C)CCC(=O)Nc1cccc(c1)c2c3c(ncnc3oc2c4ccccc4)N[C@H](CO)c5ccccc5,IC50=8nM,8.1,,
3POZ,03P,CC(C)(CC(=O)NCCn1ccc2c1c(ncn2)Nc3ccc(c(c3)Cl)Oc4cccc(c4)C(F)(F)F)O,IC50=1..(3)..23nM,8.4,,
2ITO,IRE,COc1cc2c(cc1OCCCN3CCOCC3)/C(=N/c4ccc(c(c4)Cl)F)/N=CN2,Kd=123.6nM,6.91,24,
2J6M,AEE,CCN1CCN(CC1)Cc2ccc(cc2)c3cc4c([nH]3)ncnc4N[C@H](C)c5ccccc5,Kd=10.9nM,7.96,,
5X27,7XR,CN1CCN(CC1)c2ccc(cc2)Nc3ncc4c(n3)n(c(n4)Nc5ccccc5)C6CCCC6,Kd=0.6nM,9.22,163,
3BEL,POX,COCCO/N=C/c1c(ncnc1Nc2ccc3c(c2)cnn3Cc4cccc(c4)F)N,IC50=14nM,7.85,,
2ITT,AEE,CCN1CCN(CC1)Cc2ccc(cc2)c3cc4c([nH]3)ncnc4N[C@H](C)c5ccccc5,Kd=1.7nM,8.77,163,
5EM8,5Q4,CN1CCN(CC1)c2ccc(cc2)NC(=O)C3=C(C=CNC3=O)Nc4ccccc4OC,Ki=1.09uM,5.96,,
1M17,AQ4,COCCOc1cc2c(cc1OCCOC)ncnc2Nc3cccc(c3)C#C,Ki=0.1..(6)..136nM,7.17,,
5XDK,8JC,CC(=O)N1CCN(CC1)c2ccc(c(c2)OC)Nc3ncc(c(n3)Nc4cccc(c4)NC(=O)C=C)C(F)(F)F,Ki=74-303nM:Kd=1.4nM:IC50=0.46..(38)..4331nM,6.72,99,
5UGB,8BM,CC(C)n1cnc2c1nc(nc2Nc3ccc(cc3)N4CCN(CC4)C)N[C@H]5CCN(C5)C(=O)C,Ki=161nM,6.79,,
2JIU,AEE,CCN1CCN(CC1)Cc2ccc(cc2)c3cc4c([nH]3)ncnc4N[C@H](C)c5ccccc5,Kd=27.6nM,7.56,96,
3W2S,W2R,c1cc(cc(c1)Oc2ccc(cc2Cl)Nc3c4c(ccn4CCOCCO)ncn3)NC(=O)NC5CCCCC5,IC50=6.9nM,8.16,,
4JRV,KJV,CN(C)CCCC(=O)Nc1cccc(c1)c2c3c(ncnc3oc2c4ccccc4)N[C@H](CO)c5ccccc5,IC50=29nM,7.54,,
4JR3,KJR,CC(=O)Nc1cccc(c1)c2c3c(ncnc3oc2c4ccccc4)N[C@H](CO)c5ccccc5,IC50=218nM,6.66,,
